STN#,Elevation,Lon,Lat,
C0G750,31,120.3825,23.8466,
C0G760,53,120.5746,23.8752,
C0G770,15,120.4377,24.0413,
C0G780,27,120.5039,24.0341,
C0G790,27,120.5523,24.0161,
C0G800,15,120.4317,24.0004,
C0G810,26,120.5255,23.9476,
C0G820,29,120.5094,23.9017,
C0G830,27,120.4528,23.866,
C0G840,32,120.5142,23.8776,
C0G850,62,120.5883,23.8568,
C0G860,45,120.5862,23.8976,
C0G870,12,120.32,23.9223,
C0G880,92,120.6173,23.8107,
C0G890,24,120.4844,24.1489,
C0H890,440,120.9524,23.9722,
C0H950,192,120.7664,23.8844,
C0H960,120,120.6809,23.9737,
C0H990,3076,121.2736,24.1213,
C0H9A0,1595,120.8437,23.5327,
C0H9C0,3402,121.2725,24.1434,
C0I010,1562,121.1818,24.0333,
C0I080,536,120.851,23.6897,
C0I090,910,120.7873,23.7281,
C0I110,161,120.6882,23.7612,
C0I360,300,120.8498,23.8126,
C0I370,671,120.9414,23.8957,
C0I380,258,120.8015,23.8282,
C0I390,1184,121.1322,24.0221,
C0I410,180,120.7014,23.8371,
C0I420,305,120.8551,24.0378,
C0I460,110,120.6792,23.9132,
C0I480,2165,121.1736,24.0853,
C0I490,1601,121.0914,23.9282,
C0I520,3860,120.956,23.4705,
C0K240,1132,120.6935,23.5956,
C0K250,59,120.3189,23.7556,
C0K280,23,120.2271,23.6304,
C0K291,8,120.1693,23.5363,
C0K330,38,120.442,23.7192,
C0K390,31,120.3956,23.679,
C0K400,65,120.5411,23.7206,
C0K410,20,120.2928,23.574,
C0K420,42,120.4674,23.8004,
C0K430,30,120.3036,23.6909,
C0K440,35,120.4089,23.7728,
C0K450,35,120.4315,23.6461,
C0K460,60,120.4784,23.6787,
C0K470,97,120.6096,23.7487,
C0K480,56,120.5024,23.7612,
C0K490,91,120.5598,23.6543,
C0K500,12,120.315,23.6498,
C0K510,10,120.246,23.5729,
C0K520,10,120.1548,23.6744,
C0K530,12,120.1976,23.7015,
C0K550,15,120.2297,23.5143,
C0K560,117,120.6034,23.6865,
C0K580,26,120.4179,23.7375,
C0M410,245,120.582,23.3244,
C0M520,15,120.2481,23.3699,
C0M530,1385,120.6993,23.4939,
C0M640,155,120.5229,23.4254,
C0M650,20,120.239,23.4346,
C0M660,40,120.4036,23.6041,
C0M670,43,120.4584,23.6006,
C0M680,37,120.3315,23.4551,
C0M690,33,120.3889,23.4197,
C0M700,150,120.5555,23.5262,
C0M710,15,120.1539,23.4589,
C0M720,225,120.5542,23.4647,
C0M730,40,120.4605,23.4577,
C0M740,15,120.2906,23.4929,
C0M750,10,120.1678,23.3809,
C0M760,40,120.4285,23.5518,
C0M770,164,120.5556,23.5854,
C0M780,30,120.3084,23.4113,
C0M790,15,120.3457,23.5533,
C0M800,440,120.6648,23.2991,
C0M810,1354,120.7166,23.3891,
C0M820,980,120.7495,23.454,
C0M830,540,120.6682,23.3838,
C0O810,161,120.4973,23.2197,
C0O830,127,120.495,23.0796,
C0O840,134,120.4009,23.2221,
C0O860,38,120.3608,23.1189,
C0O900,9,120.2972,23.1129,
C0O930,69,120.4606,23.126,
C0O950,4,120.1449,23.0767,
C0O960,112,120.3693,22.9595,
C0O970,71,120.3479,23.0214,
C0O980,18,120.2982,23.0616,
C0O990,18,120.2935,22.9918,
C0R100,1006,120.6839,22.8331,
C0R130,1040,120.7437,22.7429,
C0R140,740,120.6866,22.6829,
C0R150,105,120.6399,22.7099,
C0R160,45,120.5308,22.7396,
C0R170,26,120.4941,22.6603,
C0R190,32,120.6143,22.5923,
C0R220,23,120.54,22.5344,
C0R240,87,120.6251,22.5273,
C0R260,76,120.6283,22.3704,
C0R270,51,120.3622,22.3322,
C0R280,242,120.8368,22.0761,
C0R350,35,120.7358,21.9218,
C0R360,20,120.8022,21.9456,
C0R370,55,120.8446,21.992,
C0R380,2,120.5896,22.3694,
C0R400,15,120.6927,22.1902,
C0R420,504,120.8406,22.1678,
C0R430,31,120.4417,22.4649,
C0R470,103,120.6008,22.8264,
C0R480,57,120.5426,22.6931,
C0R490,49,120.4905,22.7405,
C0R500,32,120.544,22.5849,
C0R510,31,120.4904,22.5878,
C0R520,18,120.5069,22.5148,
C0R530,16,120.51,22.4308,
C0R540,17,120.5524,22.4195,
C0R550,38,120.5829,22.4679,
C0R560,22,120.4616,22.5434,
C0R570,37,120.5272,22.6508,
C0R580,10,120.5027,22.4859,
C0R590,72,120.4946,22.7792,
C0R600,766,120.6649,22.5882,
C0R620,34,120.8553,21.9008,
C0S680,1659,121.0392,22.9198,
C0S690,522,120.9853,22.609,
C0S700,507,121.0056,22.6849,
C0S710,382,121.123,22.9177,
C0S730,110,121.4753,22.6672,
C0S740,289,121.2095,23.1196,
C0S750,2280,120.9861,23.2484,
C0S760,1621,121.1262,23.0691,
C0S770,375,120.9433,22.4785,
C0S790,236,120.9669,22.5381,
C0S810,65,121.304,22.9727,
C0S830,288,121.412,23.2868,
C0S840,22,120.8892,22.2797,
C0S890,238,121.175,23.0395,
C0T790,2830,121.3161,24.1861,
C0T820,550,121.4956,24.1796,
C0T870,135,121.5089,23.9356,
C0T900,160,121.4415,23.8119,
C0T960,120,121.425,23.6607,
C0T9A0,498,121.5398,23.8099,
C0T9B0,558,121.5372,23.9919,
C0T9D0,8,121.741,24.2668,
C0T9E0,415,121.582,23.8806,
C0T9F0,283,121.5425,23.7971,
C0T9G0,605,121.4201,23.7353,
C0T9H0,725,121.5274,23.6829,
C0T9I0,152,121.5148,23.5839,
C0T9M0,92,121.495,23.4552,
C0U520,517,121.6413,24.753,
C0U600,10,121.7655,24.8175,
C0U620,17,121.7897,24.7437,
C0U650,442,121.5871,24.6753,
C0U710,1810,121.5257,24.5055,
C0U750,398,121.9531,24.8417,
C0U760,32,121.8331,24.5219,
C0U770,5,121.8102,24.4494,
C0U780,15,121.7979,24.6864,
C0U860,5,121.8308,24.8532,
C0U870,474,121.6751,24.791,
C0U890,116,121.653,24.6681,
C0U900,63,121.6877,24.7181,
C0U910,17,121.7937,24.6337,
C0U940,25,121.7493,24.6818,
C0U950,1012,121.7924,24.8975,
C0U970,7,121.8139,24.8006,
C0U980,573,121.774,24.8648,
C0U990,31,121.7225,24.7444,
C0V150,1163,120.6647,23.2602,
C0V210,700,120.8061,23.2224,
C0V250,270,120.5918,23.0801,
C0V260,65,120.5399,22.971,
C0V310,46,120.5192,22.8987,
C0V350,36,120.4468,22.7386,
C0V360,94,120.4668,22.9755,
C0V370,30,120.4019,22.8932,
C0V400,56,120.3555,22.8042,
C0V440,27,120.3561,22.6467,
C0V450,51,120.3926,22.5451,
C0V490,20,120.2988,22.6274,
C0V500,6,120.2859,22.5886,
C0V530,34,120.3275,22.8832,
C0V610,22,120.2672,22.7606,
C0V620,18,120.2369,22.8232,
C0V630,19,120.1826,22.9066,
C0V640,35,120.2445,22.8871,
C0V650,28,120.2464,22.7838,
C0V660,25,120.295,22.7971,
C0V670,20,120.286,22.7198,
C0V680,40,120.3477,22.7011,
C0V690,30,120.2756,22.6233,
C0V700,24,120.3112,22.645,
C0V710,34,120.3307,22.6227,
C0V720,15,120.3945,22.5077,
C0V730,33,120.3957,22.6056,
C0V740,60,120.4836,22.8886,
C0V750,50,120.2594,22.855,
C0V760,30,120.3058,22.7578,
C0V770,26,120.3466,22.7303,
C0V790,410,120.6881,22.9059,
C0V800,256,120.6336,22.9979,
C0V810,32,120.2849,22.6749,
C0W110,16,119.9807,25.9652,
C0W120,58,119.4684,23.5626,
C0W130,18,119.3228,23.4001,
C0W140,21,118.4088,24.4883,
C0W150,42,118.329,24.4577,
C0W160,49,119.4496,24.9944,
C0W170,42,120.4836,26.3588,
C0X050,25,120.3856,23.2966,
C0X060,19,120.2563,23.227,
C0X080,2,120.1451,23.173,
C0X100,10,120.1942,23.0104,
C0X110,20,120.1884,22.9612,
C0X120,28,120.2486,23.1833,
C0X130,27,120.3154,23.1932,
