timestamp,typhoon
2013091922,USAGI
2013091923,USAGI
2013091924,USAGI
2013092001,USAGI
2013092002,USAGI
2013092003,USAGI
2013092004,USAGI
2013092005,USAGI
2013092006,USAGI
2013092007,USAGI
2013092008,USAGI
2013092009,USAGI
2013092010,USAGI
2013092011,USAGI
2013092012,USAGI
2013092013,USAGI
2013092014,USAGI
2013092015,USAGI
2013092016,USAGI
2013092017,USAGI
2013092018,USAGI
2013092019,USAGI
2013092020,USAGI
2013092021,USAGI
2013092022,USAGI
2013092023,USAGI
2013092024,USAGI
2013092101,USAGI
2013092102,USAGI
2013092103,USAGI
2013092104,USAGI
2013092105,USAGI
2013092106,USAGI
2013092107,USAGI
2013092108,USAGI
2013092109,USAGI
2013092110,USAGI
2013092111,USAGI
2013092112,USAGI
2013092113,USAGI
2013092114,USAGI
2013092115,USAGI
2013092116,USAGI
2013092117,USAGI
2013092118,USAGI
2013092119,USAGI
2013092120,USAGI
2013092121,USAGI
2013092122,USAGI
2013092123,USAGI
2013092124,USAGI
2013092201,USAGI
2013092202,USAGI
2013092203,USAGI
2013092204,USAGI
2013092205,USAGI
2013092206,USAGI
2013092207,USAGI
2013092208,USAGI
2013092209,USAGI
2013092210,USAGI
2013092211,USAGI
2013092212,USAGI
2013092213,USAGI
2013092214,USAGI
2013092215,USAGI
2013092216,USAGI
2013092217,USAGI
2013092218,USAGI
2013092219,USAGI
2013092220,USAGI
2013092221,USAGI
2013092222,USAGI
2013092223,USAGI
2013092224,USAGI
2013100401,FITOW
2013100402,FITOW
2013100403,FITOW
2013100404,FITOW
2013100405,FITOW
2013100406,FITOW
2013100407,FITOW
2013100408,FITOW
2013100409,FITOW
2013100410,FITOW
2013100411,FITOW
2013100412,FITOW
2013100413,FITOW
2013100414,FITOW
2013100415,FITOW
2013100416,FITOW
2013100417,FITOW
2013100418,FITOW
2013100419,FITOW
2013100420,FITOW
2013100421,FITOW
2013100422,FITOW
2013100423,FITOW
2013100424,FITOW
2013100501,FITOW
2013100502,FITOW
2013100503,FITOW
2013100504,FITOW
2013100505,FITOW
2013100506,FITOW
2013100507,FITOW
2013100508,FITOW
2013100509,FITOW
2013100510,FITOW
2013100511,FITOW
2013100512,FITOW
2013100513,FITOW
2013100514,FITOW
2013100515,FITOW
2013100516,FITOW
2013100517,FITOW
2013100518,FITOW
2013100519,FITOW
2013100520,FITOW
2013100521,FITOW
2013100522,FITOW
2013100523,FITOW
2013100524,FITOW
2013100601,FITOW
2013100602,FITOW
2013100603,FITOW
2013100604,FITOW
2013100605,FITOW
2013100606,FITOW
2013100607,FITOW
2013100608,FITOW
2013100609,FITOW
2013100610,FITOW
2013100611,FITOW
2013100612,FITOW
2013100613,FITOW
2013100614,FITOW
2013100615,FITOW
2013100616,FITOW
2013100617,FITOW
2013100618,FITOW
2013100619,FITOW
2013100620,FITOW
2013100621,FITOW
2013100622,FITOW
2013100623,FITOW
2013100624,FITOW
2013100701,FITOW
2013100702,FITOW
2013100703,FITOW
2013100704,FITOW
2013100705,FITOW
2013100706,FITOW
2013100707,FITOW
2013100708,FITOW
2013100709,FITOW
2013100710,FITOW
2013100711,FITOW
2013100712,FITOW
2013100713,FITOW
2013100714,FITOW
2013100715,FITOW
2013100716,FITOW
2013100717,FITOW
2013100718,FITOW
2013100719,FITOW
2013100720,FITOW
2013100721,FITOW
2013100722,FITOW
2013100723,FITOW
2013100724,FITOW
2014061401,HAGIBIS
2014061402,HAGIBIS
2014061403,HAGIBIS
2014061404,HAGIBIS
2014061405,HAGIBIS
2014061406,HAGIBIS
2014061407,HAGIBIS
2014061408,HAGIBIS
2014061409,HAGIBIS
2014061410,HAGIBIS
2014061411,HAGIBIS
2014061412,HAGIBIS
2014061413,HAGIBIS
2014061414,HAGIBIS
2014061415,HAGIBIS
2014061416,HAGIBIS
2014061417,HAGIBIS
2014061418,HAGIBIS
2014061419,HAGIBIS
2014061420,HAGIBIS
2014061421,HAGIBIS
2014061422,HAGIBIS
2014061423,HAGIBIS
2014061424,HAGIBIS
2014061501,HAGIBIS
2014061502,HAGIBIS
2014061503,HAGIBIS
2014061504,HAGIBIS
2014061505,HAGIBIS
2014061506,HAGIBIS
2014061507,HAGIBIS
2014061508,HAGIBIS
2014061509,HAGIBIS
2014061510,HAGIBIS
2014061511,HAGIBIS
2014061512,HAGIBIS
2014061513,HAGIBIS
2014061514,HAGIBIS
2014061515,HAGIBIS
2014061516,HAGIBIS
2014061517,HAGIBIS
2014061518,HAGIBIS
2014061519,HAGIBIS
2014061520,HAGIBIS
2014061521,HAGIBIS
2014061522,HAGIBIS
2014061523,HAGIBIS
2014061524,HAGIBIS
2014072101,MATMO
2014072102,MATMO
2014072103,MATMO
2014072104,MATMO
2014072105,MATMO
2014072106,MATMO
2014072107,MATMO
2014072108,MATMO
2014072109,MATMO
2014072110,MATMO
2014072111,MATMO
2014072112,MATMO
2014072113,MATMO
2014072114,MATMO
2014072115,MATMO
2014072116,MATMO
2014072117,MATMO
2014072118,MATMO
2014072119,MATMO
2014072120,MATMO
2014072121,MATMO
2014072122,MATMO
2014072123,MATMO
2014072124,MATMO
2014072201,MATMO
2014072202,MATMO
2014072203,MATMO
2014072204,MATMO
2014072205,MATMO
2014072206,MATMO
2014072207,MATMO
2014072208,MATMO
2014072209,MATMO
2014072210,MATMO
2014072211,MATMO
2014072212,MATMO
2014072213,MATMO
2014072214,MATMO
2014072215,MATMO
2014072216,MATMO
2014072217,MATMO
2014072218,MATMO
2014072219,MATMO
2014072220,MATMO
2014072221,MATMO
2014072222,MATMO
2014072223,MATMO
2014072224,MATMO
2014072301,MATMO
2014072302,MATMO
2014072303,MATMO
2014072304,MATMO
2014072305,MATMO
2014072306,MATMO
2014072307,MATMO
2014072308,MATMO
2014072309,MATMO
2014072310,MATMO
2014072311,MATMO
2014072312,MATMO
2014072313,MATMO
2014072314,MATMO
2014072315,MATMO
2014072316,MATMO
2014072317,MATMO
2014072318,MATMO
2014072319,MATMO
2014072320,MATMO
2014072321,MATMO
2014072322,MATMO
2014072323,MATMO
2014072324,MATMO
2014091901,FUNG-WONG
2014091902,FUNG-WONG
2014091903,FUNG-WONG
2014091904,FUNG-WONG
2014091905,FUNG-WONG
2014091906,FUNG-WONG
2014091907,FUNG-WONG
2014091908,FUNG-WONG
2014091909,FUNG-WONG
2014091910,FUNG-WONG
2014091911,FUNG-WONG
2014091912,FUNG-WONG
2014091913,FUNG-WONG
