id,y_true_mean,y_true_var,y_pred_mean,y_pred_var,rmse,corr
466880,3.096811224489795,21.18845725167456,2.5576584339141846,6.193435192108154,3.8816522074200996,0.5493569329087967
466910,3.447564469914038,25.849551901910438,2.572957992553711,3.274081230163574,4.309339454536497,0.614092556283154
466920,3.0421185372005044,21.073274294012016,2.375520706176758,4.224574089050293,3.9511682666500683,0.5357663117007022
466930,3.1406281661600777,21.053915629347845,2.6255569458007812,5.894502639770508,3.664224870792653,0.6181627932018331
466940,2.9486027944111726,23.243199844068027,2.117884874343872,1.162483811378479,4.5554719424293095,0.41577151837141496
C0A520,3.1769340974212033,18.921662322766853,2.400524377822876,3.6167800426483154,3.718829756853316,0.5615609068039622
C0A530,3.0870098039215685,20.61880037290988,2.116703987121582,1.6298047304153442,4.096300034322529,0.5510719617830345
C0A540,3.0436602870813396,20.654678322780374,2.1673948764801025,2.824765682220459,3.8912074522778433,0.5947947344133883
C0A550,3.1832512315270938,18.736109734650753,2.349557876586914,3.3702619075775146,3.777717769736321,0.535838825836282
C0A560,3.0399484536082473,24.206789158629903,2.2904889583587646,4.995862007141113,4.267602995917762,0.5241498758699527
C0A570,3.098714953271028,25.756618229764577,2.5182602405548096,5.843419075012207,4.34223661116199,0.532253075524596
C0A580,3.2986453201970445,19.79818558551451,2.4795081615448,2.736623764038086,3.9217627182482495,0.5302469916975598
C0A640,3.3299763033175354,18.75130676100368,2.55315899848938,3.9259698390960693,3.5371546313522186,0.6266530154567804
C0A650,3.276824034334764,22.311578301978116,2.3069725036621094,2.669189691543579,4.037668566835272,0.6219828806543257
C0A660,3.7305585980284777,21.20308927095909,2.694502353668213,1.741265892982483,4.306105865572184,0.4488812074734529
C0A710,3.230982019363762,21.729121887487985,2.5336904525756836,2.7759127616882324,3.9630545553513112,0.596267991261407
C0A860,4.394979508196721,23.837420922656623,3.7679178714752197,4.248394012451172,4.197907816158081,0.5384754999582327
C0A870,3.133983572895277,16.319902511549067,2.4724972248077393,3.6053199768066406,3.284947786205706,0.623160411923671
C0A880,3.05,16.164264173703298,2.261019229888916,1.89153254032135,3.636047297251143,0.4920212988331461
C0A890,3.035017221584386,16.84446203993302,2.5374832153320312,3.0251259803771973,3.6957159876158183,0.45130425619153486
C0A920,3.3516609392898054,17.720802857383063,2.610882043838501,1.0593103170394897,3.862499541228707,0.5068704387246203
C0A940,3.142684401451028,18.573442179937903,2.3244006633758545,1.6424283981323242,3.8417857427320206,0.5528855530676379
C0A950,2.182888540031397,10.361546360198638,1.7264782190322876,2.0118203163146973,2.878892278877943,0.46879517375718505
C0A970,2.1987534626038783,6.390053922491455,1.6576086282730103,0.17842942476272583,2.454206495431532,0.38861409978413053
C0A980,2.9185185185185185,16.046021540828708,2.123286247253418,2.1634202003479004,3.3579071984967697,0.640552140433847
C0A9A0,3.1046337817638268,20.903706040833136,2.221681594848633,3.0984878540039062,3.8516271987710082,0.6164868052093295
C0A9B0,3.065950920245399,18.188424132764087,2.151597023010254,1.411358118057251,3.856702482243288,0.5465232415922039
C0A9C0,3.1251920122887866,18.702379770766807,2.2121236324310303,1.7957510948181152,3.74914353752303,0.6257368065826225
C0A9E0,3.01203007518797,19.659493613551906,2.523498773574829,8.795485496520996,3.5944598632262537,0.5990927422466038
C0A9F0,3.190922190201729,18.738027142566036,2.449582576751709,3.856149911880493,3.567246588624172,0.6116782593793207
C0A9G0,3.1381842456608813,19.46851327616856,2.331944465637207,2.504966974258423,3.7831727914092936,0.5935963029308182
C0A9I1,3.2076023391812867,29.896076819672384,2.710134506225586,10.150473594665527,4.5149279499592305,0.5706137758126245
C0AC40,2.8162267839687196,18.97353291133664,2.236769676208496,5.0954813957214355,3.3717746200798753,0.6622760300029226
C0AC60,3.2016806722689077,20.207514702935782,2.197049140930176,0.6809991598129272,4.303270166026548,0.45202868129183355
C0AC70,3.2228915662650603,18.638925675893926,2.393563747406006,2.3434603214263916,3.7732789120850487,0.5607874841486755
C0AC80,3.2345597897503287,17.27155404938101,2.5125069618225098,4.421258926391602,3.490791131734549,0.5728897347612739
C0ACA0,3.147887323943662,19.361737420290442,2.49452543258667,4.101839065551758,3.5798113158014897,0.6203027719287199
C0AD00,2.760519801980198,14.057510014477261,2.193363666534424,3.390784502029419,3.2772897046058183,0.5081272784319724
C0AD10,2.885145482388974,21.22911949567366,1.8230645656585693,1.4581509828567505,4.035475226209312,0.6743176400965766
C0AD20,3.3016688061617456,18.528416234642687,2.3662307262420654,1.8533179759979248,3.821463314545975,0.5660174406844205
C0AD30,2.896198830409357,16.965051415752647,2.3049023151397705,4.353054046630859,3.31459535677335,0.6204735281706676
C0AD40,3.3183673469387753,23.03883111827844,2.398911237716675,1.4787577390670776,4.319378438029652,0.5721540633414991
C0AD50,3.0650224215246635,19.166798689616275,2.235201835632324,2.0237131118774414,3.952741907115457,0.5002364194879138
C0AG90,3.383221476510067,23.114032618893063,2.4119186401367188,1.790590763092041,4.3231969655130165,0.5542836840092173
C0AH00,3.0514285714285716,17.10948022229485,2.2822816371917725,3.239945888519287,3.4070907071738628,0.6257914113546982
